"# Channel 1"
"# Trace 1"
Frequency, Formatted Data, Formatted Data
+2.00000000000E+009, -1.81151711272E+000, +0.00000000000E+000
+2.00500000000E+009, -1.85277326988E+000, +0.00000000000E+000
+2.01000000000E+009, -1.92249265199E+000, +0.00000000000E+000
+2.01500000000E+009, -1.97672395752E+000, +0.00000000000E+000
+2.02000000000E+009, -2.05021128640E+000, +0.00000000000E+000
+2.02500000000E+009, -2.13632093773E+000, +0.00000000000E+000
+2.03000000000E+009, -2.28026725015E+000, +0.00000000000E+000
+2.03500000000E+009, -2.43324158096E+000, +0.00000000000E+000
+2.04000000000E+009, -2.60723901010E+000, +0.00000000000E+000
+2.04500000000E+009, -2.63186476830E+000, +0.00000000000E+000
+2.05000000000E+009, -2.59818143903E+000, +0.00000000000E+000
+2.05500000000E+009, -2.58395840586E+000, +0.00000000000E+000
+2.06000000000E+009, -2.68229037603E+000, +0.00000000000E+000
+2.06500000000E+009, -2.89475203413E+000, +0.00000000000E+000
+2.07000000000E+009, -3.12293802308E+000, +0.00000000000E+000
+2.07500000000E+009, -3.32156534096E+000, +0.00000000000E+000
+2.08000000000E+009, -3.45506219022E+000, +0.00000000000E+000
+2.08500000000E+009, -3.43728553472E+000, +0.00000000000E+000
+2.09000000000E+009, -3.26964250984E+000, +0.00000000000E+000
+2.09500000000E+009, -3.07773252732E+000, +0.00000000000E+000
+2.10000000000E+009, -2.92637897470E+000, +0.00000000000E+000
+2.10500000000E+009, -2.81364867823E+000, +0.00000000000E+000
+2.11000000000E+009, -2.75614357318E+000, +0.00000000000E+000
+2.11500000000E+009, -2.74526800080E+000, +0.00000000000E+000
+2.12000000000E+009, -2.75902686362E+000, +0.00000000000E+000
+2.12500000000E+009, -2.77054113621E+000, +0.00000000000E+000
+2.13000000000E+009, -2.74718166569E+000, +0.00000000000E+000
+2.13500000000E+009, -2.74103425951E+000, +0.00000000000E+000
+2.14000000000E+009, -2.75979964943E+000, +0.00000000000E+000
+2.14500000000E+009, -2.79733561144E+000, +0.00000000000E+000
+2.15000000000E+009, -2.84752086142E+000, +0.00000000000E+000
+2.15500000000E+009, -2.89060400439E+000, +0.00000000000E+000
+2.16000000000E+009, -2.92398021241E+000, +0.00000000000E+000
+2.16500000000E+009, -2.95634413558E+000, +0.00000000000E+000
+2.17000000000E+009, -3.00025130543E+000, +0.00000000000E+000
+2.17500000000E+009, -3.00909587422E+000, +0.00000000000E+000
+2.18000000000E+009, -3.06332877865E+000, +0.00000000000E+000
+2.18500000000E+009, -3.13396357318E+000, +0.00000000000E+000
+2.19000000000E+009, -3.19802969297E+000, +0.00000000000E+000
+2.19500000000E+009, -3.25149661812E+000, +0.00000000000E+000
+2.20000000000E+009, -3.32709124247E+000, +0.00000000000E+000
+2.20500000000E+009, -3.40317492318E+000, +0.00000000000E+000
+2.21000000000E+009, -3.48024991910E+000, +0.00000000000E+000
+2.21500000000E+009, -3.56914787521E+000, +0.00000000000E+000
+2.22000000000E+009, -3.68214625908E+000, +0.00000000000E+000
+2.22500000000E+009, -3.77134718917E+000, +0.00000000000E+000
+2.23000000000E+009, -3.89001142134E+000, +0.00000000000E+000
+2.23500000000E+009, -4.02714121003E+000, +0.00000000000E+000
+2.24000000000E+009, -4.11932958292E+000, +0.00000000000E+000
+2.24500000000E+009, -4.16594744322E+000, +0.00000000000E+000
+2.25000000000E+009, -4.19289405949E+000, +0.00000000000E+000
+2.25500000000E+009, -4.30432174081E+000, +0.00000000000E+000
+2.26000000000E+009, -4.52663292774E+000, +0.00000000000E+000
+2.26500000000E+009, -4.75150134049E+000, +0.00000000000E+000
+2.27000000000E+009, -4.95250883220E+000, +0.00000000000E+000
+2.27500000000E+009, -5.09265415631E+000, +0.00000000000E+000
+2.28000000000E+009, -5.21803072329E+000, +0.00000000000E+000
+2.28500000000E+009, -5.35104441447E+000, +0.00000000000E+000
+2.29000000000E+009, -5.48906254915E+000, +0.00000000000E+000
+2.29500000000E+009, -5.62380811863E+000, +0.00000000000E+000
+2.30000000000E+009, -5.80806113814E+000, +0.00000000000E+000
+2.30500000000E+009, -6.03657770311E+000, +0.00000000000E+000
+2.31000000000E+009, -6.27958935653E+000, +0.00000000000E+000
+2.31500000000E+009, -6.60768717231E+000, +0.00000000000E+000
+2.32000000000E+009, -6.92363727961E+000, +0.00000000000E+000
+2.32500000000E+009, -7.26596857672E+000, +0.00000000000E+000
+2.33000000000E+009, -7.61145019304E+000, +0.00000000000E+000
+2.33500000000E+009, -7.98852204058E+000, +0.00000000000E+000
+2.34000000000E+009, -8.35072975976E+000, +0.00000000000E+000
+2.34500000000E+009, -8.77265409257E+000, +0.00000000000E+000
+2.35000000000E+009, -9.33433859290E+000, +0.00000000000E+000
+2.35500000000E+009, -1.00035809555E+001, +0.00000000000E+000
+2.36000000000E+009, -1.06871429575E+001, +0.00000000000E+000
